N,α,nD,n_max,fraction_of_successful_runs
1000,1.0300000000000005,100,100,1.0
1000,1.0400000000000005,100,100,1.0
1000,1.0500000000000005,100,100,1.0
1000,1.0600000000000005,100,100,1.0
1000,1.0700000000000005,100,100,1.0
1000,1.0800000000000005,100,100,1.0
1000,1.0900000000000005,100,100,1.0
1000,1.1000000000000005,100,100,1.0
1000,1.1100000000000005,100,100,1.0
1000,1.1200000000000006,100,100,1.0
1000,1.1300000000000006,100,100,1.0
1000,1.1400000000000006,100,100,1.0
1000,1.1500000000000006,100,100,1.0
1000,1.1600000000000006,100,100,1.0
1000,1.1700000000000006,100,100,1.0
1000,1.1800000000000006,100,100,1.0
1000,1.1900000000000006,100,100,1.0
1000,1.2000000000000006,100,100,1.0
1000,1.2100000000000006,100,100,1.0
1000,1.2200000000000006,100,100,1.0
1000,1.2300000000000006,100,100,1.0
1000,1.2400000000000007,100,100,1.0
1000,1.2500000000000007,100,100,1.0
1000,1.2600000000000007,100,100,1.0
1000,1.2700000000000007,100,100,1.0
1000,1.2800000000000007,100,100,0.99
1000,1.2900000000000007,100,100,0.99
1000,1.3000000000000007,100,100,0.99
1000,1.3100000000000007,100,100,0.99
1000,1.3200000000000007,100,100,0.99
1000,1.3300000000000007,100,100,0.97
1000,1.3400000000000007,100,100,0.95
1000,1.3500000000000008,100,100,0.93
1000,1.3600000000000008,100,100,0.91
1000,1.3700000000000008,100,100,0.94
1000,1.3800000000000008,100,100,0.86
1000,1.3900000000000008,100,100,0.78
1000,1.4000000000000008,100,100,0.72
1000,1.4100000000000008,100,100,0.74
1000,1.4200000000000008,100,100,0.73
1000,1.4300000000000008,100,100,0.57
1000,1.4400000000000008,100,100,0.59
1000,1.4500000000000008,100,100,0.39
1000,1.4600000000000009,100,100,0.4
1000,1.4700000000000009,100,100,0.33
1000,1.4800000000000009,100,100,0.24
1000,1.4900000000000009,100,100,0.19
1000,1.5000000000000009,100,100,0.2
1000,1.510000000000001,100,100,0.13
1000,1.520000000000001,100,100,0.14
1000,1.530000000000001,100,100,0.05
1000,1.540000000000001,100,100,0.04
1000,1.550000000000001,100,100,0.01
1000,1.560000000000001,100,100,0.03
1000,1.570000000000001,100,100,0.03
1000,1.580000000000001,100,100,0.01
1000,1.590000000000001,100,100,0.0
1000,1.600000000000001,100,100,0.0
1000,1.610000000000001,100,100,0.0
1000,1.620000000000001,100,100,0.0
1000,1.630000000000001,100,100,0.0
1000,1.640000000000001,100,100,0.0
1000,1.650000000000001,100,100,0.0
1000,1.660000000000001,100,100,0.0
1000,1.670000000000001,100,100,0.0
1000,1.680000000000001,100,100,0.0
1000,1.690000000000001,100,100,0.0
1000,1.700000000000001,100,100,0.0
1000,1.710000000000001,100,100,0.0
1000,1.720000000000001,100,100,0.0
1000,1.730000000000001,100,100,0.0
1000,1.740000000000001,100,100,0.0
1000,1.750000000000001,100,100,0.0
1000,1.7600000000000011,100,100,0.0
1000,1.7700000000000011,100,100,0.0
1000,1.7800000000000011,100,100,0.0
