,p,error,error_generalization,epoch
29,50,0.13177239585475503,0.260226461946232,29
30,50,0.13166366504855684,0.2599426704756477,30
31,50,0.1315162084494766,0.25947971790914803,31
32,50,0.13146032759948978,0.2591903026264219,32
33,50,0.13128700702711596,0.2588894451041803,33
34,50,0.13111297269100985,0.25861579671016993,34
35,50,0.1310715838555394,0.2584008403861046,35
36,50,0.13098434083040456,0.25809853069751865,36
37,50,0.1309314647617698,0.2578166317865545,37
38,50,0.13087746291902996,0.25771483940952256,38
39,50,0.13078882933027985,0.2575276771884672,39
0,200,0.5095385728415567,0.5095196202952831,0
1,200,0.30354592575745964,0.32244762707892544,1
2,200,0.19990792923869377,0.22447789532508447,2
3,200,0.1553166537732413,0.18166562576308343,3
4,200,0.1356347681363542,0.15672718249453504,4
5,200,0.12094151998507333,0.14367828851976835,5
6,200,0.11755646015470075,0.13978430550609336,6
7,200,0.11070432830039445,0.13145129804898165,7
8,200,0.10978150317422056,0.13341952779630825,8
9,200,0.10539725005239686,0.12896575659612028,9
10,200,0.10433064345792371,0.12501928883416738,10
11,200,0.10165538779871672,0.12275054603165507,11
12,200,0.10106471063140046,0.1213372406474045,12
13,200,0.10013938593017564,0.1208453917441535,13
14,200,0.09902055882837738,0.12015865026176953,14
15,200,0.09826900214944387,0.11838740465449082,15
16,200,0.09816360230784271,0.1184117655920045,16
17,200,0.09717689600584331,0.1183850737508417,17
18,200,0.09728001873832273,0.11746383184068487,18
19,200,0.09681270331585819,0.11661654065702365,19
20,200,0.09638319902221719,0.11715962315401204,20
21,200,0.09600321295872907,0.11641900932962504,21
22,200,0.09620387132226363,0.11633697973138284,22
23,200,0.09623763257544124,0.11649902410301691,23
24,200,0.09575562185137046,0.11631424029052391,24
25,200,0.09498260646500152,0.11587319873766092,25
26,200,0.09506397118958673,0.11566947000787071,26
27,200,0.09509716409230654,0.11561842176957589,27
28,200,0.09522515492489313,0.11542481028500293,28
29,200,0.0949756972798468,0.11538917142097405,29
30,200,0.0948872752299844,0.11516990445625899,30
31,200,0.0945071702151968,0.11476754737695019,31
32,200,0.09457348718277656,0.11487605506672952,32
33,200,0.0944312662582583,0.11460900258021715,33
34,200,0.09442601961533251,0.11466202321204158,34
35,200,0.09420397072287108,0.11453837002379219,35
36,200,0.09418903886910471,0.1146254214528182,36
37,200,0.09414041897547243,0.1147566415229507,37
38,200,0.09410567667450763,0.11465891662261991,38
39,200,0.09410364072918502,0.11464899626471645,39
0,100,0.5062624516027874,0.49352721495940244,0
1,100,0.3793544148864927,0.3893172632968929,1
2,100,0.3022703493800373,0.3224570961180201,2
3,100,0.2373576973666458,0.2995841919025806,3
4,100,0.20399958589982656,0.2647082969357631,4
5,100,0.1935311810524643,0.25278545494714405,5
6,100,0.19142172334863616,0.24325236107053994,6
7,100,0.17282864764953487,0.2407044246892323,7
8,100,0.17263884223180848,0.23844160397669154,8
9,100,0.1738542267763899,0.23659742896567307,9
10,100,0.1744782475083604,0.23777221923042052,10
11,100,0.17595785747417475,0.24162218988145892,11
12,100,0.17643496337684475,0.23659339769077486,12
