N,α,nD,n_max,fraction_of_successful_runs
100,1.4800000000000009,5000,100,0.9112
100,1.4850000000000008,5000,100,0.9058
100,1.4900000000000009,5000,100,0.8972
100,1.495000000000001,5000,100,0.898
100,1.5000000000000009,5000,100,0.8786
100,1.5050000000000008,5000,100,0.8738
100,1.510000000000001,5000,100,0.8576
100,1.515000000000001,5000,100,0.857
100,1.520000000000001,5000,100,0.8514
100,1.5250000000000008,5000,100,0.847
100,1.530000000000001,5000,100,0.8234
100,1.535000000000001,5000,100,0.8288
100,1.540000000000001,5000,100,0.8034
100,1.5450000000000008,5000,100,0.8102
100,1.550000000000001,5000,100,0.788
100,1.555000000000001,5000,100,0.7878
100,1.560000000000001,5000,100,0.7586
100,1.5650000000000008,5000,100,0.7552
100,1.570000000000001,5000,100,0.723
100,1.575000000000001,5000,100,0.7336
100,1.580000000000001,5000,100,0.696
100,1.5850000000000009,5000,100,0.6952
100,1.590000000000001,5000,100,0.6662
100,1.595000000000001,5000,100,0.67
100,1.600000000000001,5000,100,0.6432
100,1.6050000000000009,5000,100,0.6476
100,1.610000000000001,5000,100,0.6312
100,1.615000000000001,5000,100,0.6286
100,1.620000000000001,5000,100,0.5978
100,1.6250000000000009,5000,100,0.597
100,1.630000000000001,5000,100,0.564
100,1.6350000000000011,5000,100,0.566
100,1.640000000000001,5000,100,0.5264
100,1.645000000000001,5000,100,0.5458
100,1.650000000000001,5000,100,0.5002
100,1.6550000000000011,5000,100,0.5178
100,1.660000000000001,5000,100,0.4772
100,1.665000000000001,5000,100,0.4834
100,1.670000000000001,5000,100,0.448
100,1.6750000000000012,5000,100,0.4442
100,1.680000000000001,5000,100,0.4354
100,1.685000000000001,5000,100,0.419
100,1.690000000000001,5000,100,0.3958
100,1.6950000000000012,5000,100,0.3808
100,1.700000000000001,5000,100,0.3646
100,1.705000000000001,5000,100,0.3666
100,1.710000000000001,5000,100,0.3478
100,1.7150000000000012,5000,100,0.3402
100,1.720000000000001,5000,100,0.2978
100,1.725000000000001,5000,100,0.3038
100,1.730000000000001,5000,100,0.2874
100,1.7350000000000012,5000,100,0.2876
100,1.740000000000001,5000,100,0.264
100,1.745000000000001,5000,100,0.2668
100,1.750000000000001,5000,100,0.244
100,1.7550000000000012,5000,100,0.2396
100,1.7600000000000011,5000,100,0.2158
100,1.765000000000001,5000,100,0.204
100,1.7700000000000011,5000,100,0.1874
100,1.7750000000000012,5000,100,0.1978
100,1.7800000000000011,5000,100,0.1778
100,1.785000000000001,5000,100,0.1712
100,1.7900000000000011,5000,100,0.1566
100,1.7950000000000013,5000,100,0.1656
100,1.8000000000000012,5000,100,0.1476
100,1.805000000000001,5000,100,0.146
100,1.8100000000000012,5000,100,0.1258
100,1.8150000000000013,5000,100,0.122
100,1.8200000000000012,5000,100,0.111
100,1.825000000000001,5000,100,0.1156
100,1.8300000000000012,5000,100,0.106
100,1.8350000000000013,5000,100,0.105
100,1.8400000000000012,5000,100,0.0912
100,1.845000000000001,5000,100,0.0886
100,1.8500000000000012,5000,100,0.0798
100,1.8550000000000013,5000,100,0.0756
100,1.8600000000000012,5000,100,0.0736
100,1.865000000000001,5000,100,0.0666
100,1.8700000000000012,5000,100,0.0694
100,1.8750000000000013,5000,100,0.0586
100,1.8800000000000012,5000,100,0.0524
100,1.8850000000000011,5000,100,0.0468
100,1.8900000000000012,5000,100,0.0486
100,1.8950000000000014,5000,100,0.0462
100,1.9000000000000012,5000,100,0.0448
100,1.9050000000000011,5000,100,0.039
100,1.9100000000000013,5000,100,0.0318
100,1.9150000000000014,5000,100,0.0294
100,1.9200000000000013,5000,100,0.0296
100,1.9250000000000012,5000,100,0.03
100,1.9300000000000013,5000,100,0.0248
100,1.9350000000000014,5000,100,0.0278
100,1.9400000000000013,5000,100,0.0236
100,1.9450000000000012,5000,100,0.0258
100,1.9500000000000013,5000,100,0.0206
100,1.9550000000000014,5000,100,0.019
100,1.9600000000000013,5000,100,0.0172
100,1.9650000000000012,5000,100,0.0152
100,1.9700000000000013,5000,100,0.0122
100,1.9750000000000014,5000,100,0.0144
100,1.9800000000000013,5000,100,0.011
100,1.9850000000000012,5000,100,0.0112
100,1.9900000000000013,5000,100,0.0094
100,1.9950000000000014,5000,100,0.0104
100,2.0000000000000013,5000,100,0.006
100,2.0050000000000012,5000,100,0.0072
100,2.0100000000000016,5000,100,0.0062
100,2.0150000000000015,5000,100,0.0064
100,2.0200000000000014,5000,100,0.0058
100,2.0250000000000012,5000,100,0.0058
100,2.030000000000001,5000,100,0.0056
100,2.0350000000000015,5000,100,0.0056
100,2.0400000000000014,5000,100,0.0036
100,2.0450000000000013,5000,100,0.005
100,2.0500000000000016,5000,100,0.002
100,2.0550000000000015,5000,100,0.0046
100,2.0600000000000014,5000,100,0.0022
100,2.0650000000000013,5000,100,0.0034
100,2.070000000000001,5000,100,0.0016
100,2.0750000000000015,5000,100,0.0026
100,2.0800000000000014,5000,100,0.0018
100,2.0850000000000013,5000,100,0.0012
100,2.0900000000000016,5000,100,0.0006
100,2.0950000000000015,5000,100,0.0014
100,2.1000000000000014,5000,100,0.0006
100,2.1050000000000013,5000,100,0.001
100,2.110000000000001,5000,100,0.0016
100,2.1150000000000015,5000,100,0.0008
100,2.1200000000000014,5000,100,0.0006
100,2.1250000000000013,5000,100,0.0008
100,2.1300000000000017,5000,100,0.0006
100,2.1350000000000016,5000,100,0.0
100,2.1400000000000015,5000,100,0.0006
100,2.1450000000000014,5000,100,0.0008
100,2.1500000000000012,5000,100,0.0006
100,2.1550000000000016,5000,100,0.0002
100,2.1600000000000015,5000,100,0.0002
100,2.1650000000000014,5000,100,0.0006
100,2.1700000000000017,5000,100,0.0006
100,2.1750000000000016,5000,100,0.0002
100,2.1800000000000015,5000,100,0.0
100,2.1850000000000014,5000,100,0.0002
100,2.1900000000000013,5000,100,0.0004
100,2.1950000000000016,5000,100,0.0
100,2.2000000000000015,5000,100,0.0004
100,2.2050000000000014,5000,100,0.0002
100,2.2100000000000017,5000,100,0.0
100,2.2150000000000016,5000,100,0.0
100,2.2200000000000015,5000,100,0.0
100,2.2250000000000014,5000,100,0.0004
100,2.2300000000000013,5000,100,0.0002
100,2.2350000000000017,5000,100,0.0
100,2.2400000000000015,5000,100,0.0004
100,2.2450000000000014,5000,100,0.0
100,2.2500000000000018,5000,100,0.0
100,2.2550000000000017,5000,100,0.0
100,2.2600000000000016,5000,100,0.0
100,2.2650000000000015,5000,100,0.0
100,2.2700000000000014,5000,100,0.0002
100,2.2750000000000017,5000,100,0.0
100,2.2800000000000016,5000,100,0.0002
100,2.2850000000000015,5000,100,0.0
100,2.290000000000002,5000,100,0.0
100,2.2950000000000017,5000,100,0.0
100,2.3000000000000016,5000,100,0.0
100,2.3050000000000015,5000,100,0.0
100,2.3100000000000014,5000,100,0.0
100,2.3150000000000017,5000,100,0.0
100,2.3200000000000016,5000,100,0.0
100,2.3250000000000015,5000,100,0.0
100,2.330000000000002,5000,100,0.0
100,2.3350000000000017,5000,100,0.0
100,2.3400000000000016,5000,100,0.0
100,2.3450000000000015,5000,100,0.0
100,2.3500000000000014,5000,100,0.0
100,2.3550000000000018,5000,100,0.0
100,2.3600000000000017,5000,100,0.0
100,2.3650000000000015,5000,100,0.0
100,2.370000000000002,5000,100,0.0
100,2.3750000000000018,5000,100,0.0
100,2.3800000000000017,5000,100,0.0
100,2.3850000000000016,5000,100,0.0
100,2.3900000000000015,5000,100,0.0
100,2.395000000000002,5000,100,0.0
100,2.4000000000000017,5000,100,0.0
100,2.4050000000000016,5000,100,0.0
100,2.410000000000002,5000,100,0.0
100,2.415000000000002,5000,100,0.0
100,2.4200000000000017,5000,100,0.0
100,2.4250000000000016,5000,100,0.0
100,2.4300000000000015,5000,100,0.0
100,2.435000000000002,5000,100,0.0
100,2.4400000000000017,5000,100,0.0
100,2.4450000000000016,5000,100,0.0
100,2.450000000000002,5000,100,0.0
100,2.455000000000002,5000,100,0.0
100,2.4600000000000017,5000,100,0.0
100,2.4650000000000016,5000,100,0.0
100,2.4700000000000015,5000,100,0.0
100,2.475000000000002,5000,100,0.0
100,2.4800000000000018,5000,100,0.0
100,2.4850000000000017,5000,100,0.0
100,2.490000000000002,5000,100,0.0
100,2.495000000000002,5000,100,0.0
100,2.5000000000000018,5000,100,0.0
100,2.5050000000000017,5000,100,0.0
100,2.5100000000000016,5000,100,0.0
100,2.515000000000002,5000,100,0.0
100,2.520000000000002,5000,100,0.0
100,2.5250000000000017,5000,100,0.0
100,2.530000000000002,5000,100,0.0
100,2.535000000000002,5000,100,0.0
100,2.540000000000002,5000,100,0.0
100,2.5450000000000017,5000,100,0.0
100,2.5500000000000016,5000,100,0.0
100,2.555000000000002,5000,100,0.0
100,2.560000000000002,5000,100,0.0
100,2.5650000000000017,5000,100,0.0
100,2.570000000000002,5000,100,0.0
100,2.575000000000002,5000,100,0.0
100,2.580000000000002,5000,100,0.0
100,2.5850000000000017,5000,100,0.0
100,2.5900000000000016,5000,100,0.0
100,2.595000000000002,5000,100,0.0
100,2.600000000000002,5000,100,0.0
100,2.6050000000000018,5000,100,0.0
100,2.610000000000002,5000,100,0.0
100,2.615000000000002,5000,100,0.0
100,2.620000000000002,5000,100,0.0
100,2.6250000000000018,5000,100,0.0
100,2.6300000000000017,5000,100,0.0
100,2.635000000000002,5000,100,0.0
100,2.640000000000002,5000,100,0.0
100,2.645000000000002,5000,100,0.0
100,2.650000000000002,5000,100,0.0
100,2.655000000000002,5000,100,0.0
100,2.660000000000002,5000,100,0.0
100,2.665000000000002,5000,100,0.0
100,2.6700000000000017,5000,100,0.0
100,2.675000000000002,5000,100,0.0
100,2.680000000000002,5000,100,0.0
100,2.685000000000002,5000,100,0.0
100,2.690000000000002,5000,100,0.0
100,2.695000000000002,5000,100,0.0
100,2.700000000000002,5000,100,0.0
100,2.705000000000002,5000,100,0.0
100,2.7100000000000017,5000,100,0.0
100,2.715000000000002,5000,100,0.0
100,2.720000000000002,5000,100,0.0
100,2.725000000000002,5000,100,0.0
100,2.730000000000002,5000,100,0.0
100,2.735000000000002,5000,100,0.0
100,2.740000000000002,5000,100,0.0
100,2.745000000000002,5000,100,0.0
100,2.7500000000000018,5000,100,0.0
100,2.755000000000002,5000,100,0.0
100,2.760000000000002,5000,100,0.0
100,2.765000000000002,5000,100,0.0
100,2.7700000000000022,5000,100,0.0
100,2.775000000000002,5000,100,0.0
100,2.780000000000002,5000,100,0.0
100,2.785000000000002,5000,100,0.0
100,2.790000000000002,5000,100,0.0
100,2.795000000000002,5000,100,0.0
100,2.800000000000002,5000,100,0.0
100,2.805000000000002,5000,100,0.0
100,2.8100000000000023,5000,100,0.0
100,2.815000000000002,5000,100,0.0
100,2.820000000000002,5000,100,0.0
100,2.825000000000002,5000,100,0.0
100,2.830000000000002,5000,100,0.0
100,2.835000000000002,5000,100,0.0
100,2.840000000000002,5000,100,0.0
100,2.845000000000002,5000,100,0.0
100,2.8500000000000023,5000,100,0.0
100,2.855000000000002,5000,100,0.0
100,2.860000000000002,5000,100,0.0
100,2.865000000000002,5000,100,0.0
100,2.870000000000002,5000,100,0.0
100,2.875000000000002,5000,100,0.0
100,2.880000000000002,5000,100,0.0
100,2.885000000000002,5000,100,0.0
100,2.8900000000000023,5000,100,0.0
100,2.8950000000000022,5000,100,0.0
100,2.900000000000002,5000,100,0.0
100,2.905000000000002,5000,100,0.0
100,2.910000000000002,5000,100,0.0
100,2.9150000000000023,5000,100,0.0
100,2.920000000000002,5000,100,0.0
100,2.925000000000002,5000,100,0.0
100,2.9300000000000024,5000,100,0.0
100,2.9350000000000023,5000,100,0.0
100,2.940000000000002,5000,100,0.0
100,2.945000000000002,5000,100,0.0
100,2.950000000000002,5000,100,0.0
100,2.9550000000000023,5000,100,0.0
100,2.960000000000002,5000,100,0.0
100,2.965000000000002,5000,100,0.0
100,2.9700000000000024,5000,100,0.0
100,2.9750000000000023,5000,100,0.0
100,2.980000000000002,5000,100,0.0
100,2.985000000000002,5000,100,0.0
100,2.990000000000002,5000,100,0.0
